ORDER	SENTENCE	WORD	RANK	COUNT	COUNT_REL	INDEX	ID
11001	Doch Sie sind alles andere als ein Profi.	profi	1882	    2,040	0.0044	296	german_de_news_2015_00392796
11002	Er ist damit der erste deutsche Profi seit sechs Jahren, der einen internationalen Titel feiern darf.	profi	1882	    2,040	0.0044	395.0667	german_de_news_2013_00468172
11003	Doch für einen BVB-Profi ist der Druck noch größer als für alle anderen.	profi	1882	    2,040	0.0044	457.7692	german_de_news_2013_00414009
11004	In Köln wurde ich Profi, fand meine Frau.	profi	1882	    2,040	0.0044	552.375	german_de_news_2013_00625419
11005	Gründe für den Verkauf der Profi-Investoren.	profi	1882	    2,040	0.0044	818.4286	german_de_news_2013_00547714
11006	Ja, aber wir senden wieder, keine Frage.	senden	1883	    2,039	0.0044	362.2857	german_de_news_2014_00609527
11007	Dagegen gibt es ein Mittel: Die Bilder nicht senden.	senden	1883	    2,039	0.0044	457.2222	german_de_news_2013_00147022
11008	Man gibt seine Anfrage genauso ein, wie wenn man eine Nachricht an einen Bekannten senden würde.	senden	1883	    2,039	0.0044	517.8667	german_de_news_2015_00644964
11009	Schön, dass wir Ihnen unsere BLICK News des Tages senden dürfen.	senden	1883	    2,039	0.0044	586.8182	german_de_news_2015_00750140
11010	Dabei kann die Kamera bekannte Personen erkennen und beispielsweise die Mitteilung senden: „Matthias ist gerade nach Hause gekommen“.	senden	1883	    2,039	0.0044	706.0588	german_de_news_2015_00139910
11011	Jetzt sind die Kleinen so weit, dass man sie auch präsentieren kann.	präsentieren	1884	    2,038	0.0043	263.8333	german_de_news_2013_00646766
11012	Das hält sie jedoch nicht davon ab, ihre Opfer erneut zu präsentieren.	präsentieren	1884	    2,038	0.0043	342.3333	german_de_news_2013_00180625
11013	Dann werden wir alles präsentieren.	präsentieren	1884	    2,038	0.0043	437.6	german_de_news_2014_00160569
11014	Dann kann er sich dem Papst gleich als Nachfolger präsentieren.	präsentieren	1884	    2,038	0.0043	554.6	german_de_news_2013_00159954
11015	Seine Pläne will er voraussichtlich Ende Oktober präsentieren.	präsentieren	1884	    2,038	0.0043	717	german_de_news_2015_00756666
11016	Als er an die Macht kam, war schon lange nichts mehr zu retten.	retten	1884	    2,038	0.0043	229.6923	german_de_news_2015_00035603
11017	«Wir sind dabei zu schauen, ob wir die Situation in den nächsten Stunden retten können.»	retten	1884	    2,038	0.0043	363.9286	german_de_news_2014_00936386
11018	Sie seien nicht zu retten.	retten	1884	    2,038	0.0043	420.8	german_de_news_2014_00783797
11019	Gemeinsam retten sie die Welt!	retten	1884	    2,038	0.0043	531.8	german_de_news_2013_00536283
11020	Der Urlaub ist der letzte Versuch, ihre Ehe zu retten.	retten	1884	    2,038	0.0043	841.6667	german_de_news_2013_00285121
11021	Die Zürcher sind nun aber im Spiel.	zürcher	1884	    2,038	0.0043	323.8571	german_de_news_2013_00407346
11022	Ziel ist es, nicht überrascht zu werden“, erklärte er kurz vor der WM der Neuen Zürcher Zeitung.	zürcher	1884	    2,038	0.0043	358.5	german_de_news_2014_00948027
11023	Was zeigen die Zürcher jetzt?	zürcher	1884	    2,038	0.0043	498.8	german_de_news_2013_00925166
11024	So gesehen war in der Pause die Führung der ­Zürcher verdient.	zürcher	1884	    2,038	0.0043	618.8	german_de_news_2015_00784739
11025	Trotzdem gewinnt seine Partei die Zürcher Wahlen.	zürcher	1884	    2,038	0.0043	894.2857	german_de_news_2015_00816521
11026	Am Dienstag galt es aber für ihn und Martin mehr..	galt	1885	    2,037	0.0043	326	german_de_news_2015_00043382
11027	Sein Dank galt der Frau, „ohne die ich nicht Bürgermeister geworden wäre“.	galt	1885	    2,037	0.0043	373.5833	german_de_news_2014_00764005
11028	Das galt bis vor wenigen Jahren.	galt	1885	    2,037	0.0043	497.6667	german_de_news_2013_00176709
11029	Da scheint es besser, vorher das Gespräch zu suchen - was offensichtlich für beide Seiten galt.	galt	1885	    2,037	0.0043	558.8	german_de_news_2013_00171076
11030	Zuerst galt seine Liebe jedoch dem Film.	galt	1885	    2,037	0.0043	735.4286	german_de_news_2014_00954171
11031	Was wurde aus der Kampagne?	kampagne	1885	    2,037	0.0043	408	german_de_news_2014_00897650
11032	Wie sehen Sie diese Twitter-Kampagne?	kampagne	1885	    2,037	0.0043	494.3333	german_de_news_2014_00925491
