ORDER	SENTENCE	WORD	RANK	COUNT	COUNT_REL	INDEX	ID
3001	Doch auf dem Platz ist er noch nicht wieder der Alte.	alte	593	    7,333	0.0156	98.8182	german_de_news_2014_00389144
3002	So ganz der Alte ist er trotzdem noch nicht.	alte	593	    7,333	0.0156	155.8889	german_de_news_2013_00822728
3003	Ja, gibt es denn diese alte Partei immer noch?	alte	593	    7,333	0.0156	181.3333	german_de_news_2013_00639807
3004	Hier sind Frauen, Kinder und alte Menschen.	alte	593	    7,333	0.0156	202.1429	german_de_news_2014_00539429
3005	Das ist alte SPD-Politik.	alte	593	    7,333	0.0156	265.2	german_de_news_2014_00182313
3006	Das ist etwa bei Microsoft der Fall.	microsoft	594	    7,320	0.0156	146.4286	german_de_news_2014_00184353
3007	Eine Antwort auf diese Frage zu finden ist gar nicht einmal so einfach, denn offenbar ist man sich bei Microsoft selbst noch nicht so sicher bei diesem Thema.	microsoft	594	    7,320	0.0156	163.6667	german_de_news_2013_00434005
3008	Microsoft stellt Windows ein; nach Windows 10 wird es kein Windows mehr geben.	microsoft	594	    7,320	0.0156	202.4	german_de_news_2015_00658899
3009	So schnell war Microsoft noch nie.	microsoft	594	    7,320	0.0156	223.3333	german_de_news_2013_00830841
3010	Microsoft geht diesen Weg wohl eher wegen Apple und Google.	microsoft	594	    7,320	0.0156	272.4	german_de_news_2013_00694026
3011	Er hält mehr als 15 Prozent der Aktien.	aktien	595	    7,319	0.0156	174	german_de_news_2014_00443632
3012	Auch welche Aktien man/Frau hat.	aktien	595	    7,319	0.0156	210.3333	german_de_news_2013_00077373
3013	Das sind 50 Prozent aller Aktien.	aktien	595	    7,319	0.0156	223.2	german_de_news_2015_00200198
3014	Seit November seien die Aktien..	aktien	595	    7,319	0.0156	256.2	german_de_news_2015_00762022
3015	Deutsche Aktien stehen so hoch wie nie.	aktien	595	    7,319	0.0156	271.7143	german_de_news_2013_00295350
3016	Das hätten wir alles schon im Sommer haben können.	sommer	596	    7,307	0.0156	139.4444	german_de_news_2014_00179902
3017	Dann kann der Sommer ja kommen!	sommer	596	    7,307	0.0156	174.8333	german_de_news_2013_00159939
3018	Und am Samstag ist Sommer.	sommer	596	    7,307	0.0156	199.8	german_de_news_2013_00864616
3019	Das ist mein Ziel in diesem Sommer.	sommer	596	    7,307	0.0156	232.8571	german_de_news_2014_00185275
3020	Im Sommer waren acht neue Spieler gekommen.	sommer	596	    7,307	0.0156	312.7143	german_de_news_2014_00575089
3021	In der Europa League jedoch ist noch alles möglich.	league	597	    7,276	0.0155	171.5556	german_de_news_2013_00612472
3022	Auch in der Europa League ist er eine Runde weiter.	league	597	    7,276	0.0155	177.2	german_de_news_2015_00075839
3023	«Und wir sind auch noch in der Champions League dabei.	league	597	    7,276	0.0155	179	german_de_news_2015_00844702
3024	Wer muss in die Europa League?	league	597	    7,276	0.0155	184.5	german_de_news_2015_00908328
3025	So wie die Europa League.	league	597	    7,276	0.0155	185.2	german_de_news_2013_00833360
3026	Wir sind in einer neuen Region.	region	598	    7,262	0.0155	142.1667	german_de_news_2013_00967060
3027	Er will etwas sehen von der Region.	region	598	    7,262	0.0155	156.2857	german_de_news_2015_00451937
3028	In gut sechs Minuten zeigt sich die Region mit ihr..	region	598	    7,262	0.0155	173.1	german_de_news_2013_00623876
3029	Wie Flüchtlinge zu uns kommen Wie Flüchtlinge in die Region kommen.	region	598	    7,262	0.0155	177.75	german_de_news_2015_00915009
3030	Das wäre gut für die ganze Region.“	region	598	    7,262	0.0155	198	german_de_news_2014_00209675
3031	Das ist aber mit Sicherheit nicht der Fall.	sicherheit	598	    7,262	0.0155	115	german_de_news_2015_00181298
3032	Sie haben von der neuen Sicherheit nichts.	sicherheit	598	    7,262	0.0155	139.5714	german_de_news_2014_00778811
3033	Oder um sich schnell in Sicherheit zu bringen.	sicherheit	598	    7,262	0.0155	183.75	german_de_news_2014_00723164
3034	Der 23-Jährige konnte sich in Sicherheit bringen.	sicherheit	598	    7,262	0.0155	206.8571	german_de_news_2014_00232210
3035	Insgesamt wurden sechs Menschen in Sicherheit gebracht.	sicherheit	598	    7,262	0.0155	280.5714	german_de_news_2013_00631304
3036	Er hatte aber nicht nur gute Nachrichten dabei.	nachrichten	599	    7,224	0.0154	152.25	german_de_news_2013_00466944
3037	Aber es gibt auch gute Nachrichten.	nachrichten	599	    7,224	0.0154	179.5	german_de_news_2014_00012489
3038	Aber es gab auch gute Nachrichten.	nachrichten	599	    7,224	0.0154	200.5	german_de_news_2013_00013824
3039	Wenn das keine guten Nachrichten sind!	nachrichten	599	    7,224	0.0154	226.1667	german_de_news_2014_00906782
3040	Antwort auf „Zu gute Nachrichten	nachrichten	599	    7,224	0.0154	276	german_de_news_2013_00061789
3041	Die europäischen Länder, die den Euro nicht haben, kommen ohne den Euro sehr gut klar.	länder	600	    7,184	0.0153	170.9167	german_de_news_2013_00324940
3042	Aber was macht der Staat und die Länder?	länder	600	    7,184	0.0153	184.25	german_de_news_2014_00017102
3043	Insgesamt sind es etwa 170 Länder.	länder	600	    7,184	0.0153	212.6	german_de_news_2015_00595725
3044	Tatsächlich wurden bisher erst knapp 150 Menschen in andere EU-Länder gebracht.	länder	600	    7,184	0.0153	270.1818	german_de_news_2015_00808492
3045	Weitere Länder sollen später folgen.	länder	600	    7,184	0.0153	338.6	german_de_news_2014_00902476
3046	Und auch dass nur auf Druck von Anderen.	druck	601	    7,183	0.0153	107.5	german_de_news_2013_00864913
3047	Es ist gut, für ein paar Wochen keinen Druck zu haben.	druck	601	    7,183	0.0153	166.2727	german_de_news_2015_00462800
3048	Man hat keinen Druck und kann machen, was man möchte.	druck	601	    7,183	0.0153	191.3333	german_de_news_2014_00651528
3049	Der Druck kam von ihnen.	druck	601	    7,183	0.0153	215.8	german_de_news_2013_00250891
3050	So dürfte der Wert weiterhin unter Druck stehen.	druck	601	    7,183	0.0153	284.75	german_de_news_2014_00792099
3051	4. Wie gut es doch unser Deutschland hat!	unser	602	    7,174	0.0153	139.2857	german_de_news_2013_00006753
