ORDER	SENTENCE	WORD	RANK	COUNT	COUNT_REL	INDEX	ID
5001	Und sie ist auch kaum im letzten Teil dabei, da bleibt dann nur die eine Stunde in der Mitte.	stunde	961	    4,345	0.0093	156.7368	german_de_news_2013_00878384
5002	Was also macht ihn zum Mann der Stunde?	stunde	961	    4,345	0.0093	229.25	german_de_news_2014_00892325
5003	Stunde um Stunde, Tag für Tag, Jahr für Jahr.	stunde	961	    4,345	0.0093	269.2	german_de_news_2013_00843750
5004	Eine Stunde und acht Minuten.	stunde	961	    4,345	0.0093	355.6	german_de_news_2013_00444296
5005	Früher waren hier 1200 Autos pro Stunde unterwegs.	stunde	961	    4,345	0.0093	514.7143	german_de_news_2013_00517593
5006	Die Anzeige bei der Polizei war gut und richtig.	anzeige	962	    4,344	0.0093	200	german_de_news_2013_00303177
5007	Was steht in der Anzeige?	anzeige	962	    4,344	0.0093	237.8	german_de_news_2015_00888669
5008	Anzeige „Man konnte es sehen.	anzeige	962	    4,344	0.0093	293	german_de_news_2014_00062055
5009	Eine Anzeige würden die Fahrer jedoch bekommen.	anzeige	962	    4,344	0.0093	347.5714	german_de_news_2015_00408858
5010	ANZEIGE Partner Folgen Sie uns!	anzeige	962	    4,344	0.0093	500.6	german_de_news_2014_00062164
5011	Die meisten Forscher sagen nun: Den gab es nicht.	forscher	963	    4,341	0.0093	231.3333	german_de_news_2014_00335348
5012	In ihrer Studie haben die Forscher unter.	forscher	963	    4,341	0.0093	256.8571	german_de_news_2013_00624578
5013	An diesem Problem wollen die Forscher künftig arbeiten.	forscher	963	    4,341	0.0093	332.25	german_de_news_2013_00055355
5014	Bereits 2007 kamen Forscher zu diesem Ergebnis.	forscher	963	    4,341	0.0093	407.1667	german_de_news_2015_00113242
5015	Forscher machen sich dennoch Sorgen.	forscher	963	    4,341	0.0093	439.8	german_de_news_2013_00511867
5016	Die Luft war nun etwas aus dem Spiel.	luft	964	    4,330	0.0092	187.875	german_de_news_2015_00331508
5017	So kann man auch für gute Luft sorgen?	luft	964	    4,330	0.0092	258.375	german_de_news_2015_00786261
5018	Die Aktie habe weniger als zehn Prozent Luft nach oben.	luft	964	    4,330	0.0092	299.9	german_de_news_2015_00286486
5019	Da ist also nach ganz schön Luft im System.	luft	964	    4,330	0.0092	325.7778	german_de_news_2013_00149616
5020	Es gab kaum Luft, Wasser und Essen.	luft	964	    4,330	0.0092	444.5714	german_de_news_2015_00455374
5021	Richtig und wenn nicht hier, dann hätte es ein anderer gemacht.	anderer	965	    4,321	0.0092	203.2727	german_de_news_2013_00776161
5022	So viele, wie kein anderer.	anderer	965	    4,321	0.0092	259.6	german_de_news_2013_00832487
5023	Aber morgen ist wieder ein anderer Tag.	anderer	965	    4,321	0.0092	298.2857	german_de_news_2014_00015130
5024	Nur 19 Prozent sind anderer Meinung.	anderer	965	    4,321	0.0092	378.4	german_de_news_2015_00706656
5025	Das Gericht war anderer Meinung.	anderer	965	    4,321	0.0092	498	german_de_news_2014_00176893
5026	Wenn er so weiter macht, wird er ein ganz Großer!	großer	966	    4,319	0.0092	178	german_de_news_2014_00908647
5027	Das wird sicher ein großer Kampf zwischen den Beiden.	großer	966	    4,319	0.0092	258.8889	german_de_news_2015_00211269
5028	Es war damals ein großer Schritt für ihn.	großer	966	    4,319	0.0092	286.5	german_de_news_2015_00469650
5029	In wie großer Zahl, ist jedoch noch offen.	großer	966	    4,319	0.0092	309	german_de_news_2014_00605302
5030	Das wäre ein großer Fehler.	großer	966	    4,319	0.0092	382.2	german_de_news_2014_00209624
5031	Es gibt sie nicht, jedenfalls ist sie nicht zu sehen.	jedenfalls	967	    4,310	0.0092	167.875	german_de_news_2015_00458801
5032	So würde ich das jedenfalls sehen.	jedenfalls	967	    4,310	0.0092	244.8333	german_de_news_2014_00804848
5033	Jedenfalls kommen auf die beiden hohe Kosten zu.	jedenfalls	967	    4,310	0.0092	314.375	german_de_news_2015_00605901
5034	Hier im Gericht jedenfalls nicht.“	jedenfalls	967	    4,310	0.0092	357.4	german_de_news_2013_00561507
5035	Ich würde es jedenfalls gerne essen.	jedenfalls	967	    4,310	0.0092	469.5	german_de_news_2013_00583948
5036	Wir spielen nicht nur mit, wir spielen auch wieder an der Spitze mit.	spitze	968	    4,309	0.0092	152.9	german_de_news_2014_00937499
5037	Daher hatte ich nicht erwartet, wieder an die Spitze zu kommen.	spitze	968	    4,309	0.0092	201.6364	german_de_news_2013_00148460
5038	Damit sind wir in Europa Spitze.	spitze	968	    4,309	0.0092	233.6667	german_de_news_2013_00154469
5039	Seit 2011 steht sie an der Spitze ihres Landes - und zwar als erste Frau.	spitze	968	    4,309	0.0092	263.1538	german_de_news_2014_00768003
5040	Spitze sei insbesondere der Juli gewesen.	spitze	968	    4,309	0.0092	442.6667	german_de_news_2014_00807795
5041	Das war in der Vergangenheit so und ist es auch in Zukunft.“	vergangenheit	969	    4,307	0.0092	137.2727	german_de_news_2015_00209687
5042	Das war in der Vergangenheit.»	vergangenheit	969	    4,307	0.0092	205.8	german_de_news_2014_00210319
5043	Die meisten von uns hatten einfach nur Glück in der Vergangenheit, diese 4 hatten es leider nicht.	vergangenheit	969	    4,307	0.0092	243.7333	german_de_news_2013_00352787
5044	Dies hatte der DAX in der Vergangenheit bereits 4mal gemacht.	vergangenheit	969	    4,307	0.0092	289.7778	german_de_news_2014_00364314
5045	Wann liegen diese in der Vergangenheit?	vergangenheit	969	    4,307	0.0092	399.5	german_de_news_2014_00889799
5046	Dass Sie mit Rot so Ihre Probleme haben, ist bekannt.	rot	970	    4,301	0.0092	198	german_de_news_2014_00203354
5047	Auch er jetzt in Rot.	rot	970	    4,301	0.0092	222.2	german_de_news_2013_00071507
5048	Daher war Rot auch nie ganz weg.	rot	970	    4,301	0.0092	300.8571	german_de_news_2013_00148979
5049	Und sehr viel rot-weiß.	rot	970	    4,301	0.0092	318.4	german_de_news_2014_00849957
5050	Da habe ich rot gesehen.	rot	970	    4,301	0.0092	383.8	german_de_news_2013_00147751
5051	Man sei noch in Verhandlungen mit Stadt und Land.	verhandlungen	971	    4,295	0.0092	174.4444	german_de_news_2013_00683808
5052	Über den aktuellen Stand der Verhandlungen ist nichts bekannt.	verhandlungen	971	    4,295	0.0092	278.2222	german_de_news_2014_00829860
5053	Derzeit setzen wir noch darauf, dass Verhandlungen zu einem Ergebnis führen.	verhandlungen	971	    4,295	0.0092	314.4545	german_de_news_2013_00290994
