ORDER	SENTENCE	STATUS	WORD	RANK	COUNT	COUNT_REL	INDEX	ID
15001	По мнению тренера, россияне могли показать более высокий результат.	Y	тренера	2295	    1,754	0.004	1108.7778	rus_news_2010_00378032
15002	И все же считаю это решение очень важным.	Y	важным	2296	    1,753	0.004	496	rus_news_2007_00746704
15003	Почему я считаю важным об этом сказать.	Y	важным	2296	    1,753	0.004	676.1429	rus_news_2007_00200546
15004	Воскресенье должно было стать важным днем в истории Молдавии.	Y	важным	2296	    1,753	0.004	759.6667	rus_news_2010_00627329
15005	По крайней мере, не менее важным, чем финансовый или любой другой капитал.	Y	важным	2296	    1,753	0.004	847.5833	rus_news_2007_00396533
15006	Расследование дела ведут следователи по особо важным делам.	Y	важным	2296	    1,753	0.004	1452.5	rus_news_2010_00080393
15007	Для этого у страны есть как ресурсы, так и возможности.	Y	ресурсы	2296	    1,753	0.004	311.9	rus_news_2009_00332719
15008	Есть такие интернет-ресурсы, я вам много не буду говорить об этом.	Y	ресурсы	2296	    1,753	0.004	502.0833	rus_news_2010_00541906
15009	У каждой страны свои планы выхода из кризиса и ресурсы.	Y	ресурсы	2296	    1,753	0.004	743.3	rus_news_2009_00016408
15010	Грузия имеет все ресурсы для решения этого вопроса.	Y	ресурсы	2296	    1,753	0.004	805.875	rus_news_2007_00924926
15011	Партнеры Даже России нужны финансовые ресурсы Китая.	Y	ресурсы	2296	    1,753	0.004	1269.5714	rus_news_2009_00398556
15012	А может этого никто не делает как раз потому, что это никому не нужно?	Y	никому	2297	    1,752	0.004	354.4615	rus_news_2009_00513217
15013	Ведь оно как у нас всегда было: никому не нужно, но и тебе нельзя.	Y	никому	2297	    1,752	0.004	463.4286	rus_news_2010_00140579
15014	Но это, скорее всего, никому не интересно.	Y	никому	2297	    1,752	0.004	651.1429	rus_news_2007_00476235
15015	«У нас есть указ никому об этом не говорить», – заявили организаторы выступления.	Y	никому	2297	    1,752	0.004	805	rus_news_2007_00624496
15016	Ни того, ни другого, ни третьего пока никому не удалось увидеть..	Y	никому	2297	    1,752	0.004	866.2222	rus_news_2009_00364363
15017	М.К.: Стабильность у нас обеспечивает все-таки президент.	Y	обеспечивает	2297	    1,752	0.004	726.4444	rus_news_2007_00825155
15018	Ведь первое место на выборах еще не обеспечивает большинство при голосовании.	Y	обеспечивает	2297	    1,752	0.004	727.1818	rus_news_2007_00809763
15019	По его мнению, таким статусом может обладать только тот регион, который сам себя обеспечивает.	Y	обеспечивает	2297	    1,752	0.004	792.7857	rus_news_2010_00719180
15020	Она также обеспечивает решение задач в интересах безопасности России.	Y	обеспечивает	2297	    1,752	0.004	830.6667	rus_news_2010_00025852
15021	Все это, по словам президента, к тому, что мы выйдем на новое поколение тех, кто обеспечивает правопорядок.	Y	обеспечивает	2297	    1,752	0.004	875.8824	rus_news_2010_00772663
15022	Сообщалось также о погибших в результате столкновения.	Y	столкновения	2297	    1,752	0.004	592.8571	rus_news_2007_00089550
15023	В результате столкновения мужчина скончался на месте.	Y	столкновения	2297	    1,752	0.004	810.5714	rus_news_2009_00176867
15024	В результате столкновения пять человек серьезно пострадали.	Y	столкновения	2297	    1,752	0.004	835	rus_news_2007_00496921
15025	Столкновения на юге Киргизии начались в еще в пятницу.	Y	столкновения	2297	    1,752	0.004	974.5	rus_news_2010_00063646
15026	В результате столкновения обе машины сильно пострадали.	Y	столкновения	2297	    1,752	0.004	1054.8571	rus_news_2007_00485252
15027	Мы все знаем, как все было, кто это, - сказал он.	Y	знаем	2298	    1,751	0.004	289.7778	rus_news_2010_00924064
15028	Мы вообще не знаем, кто из них что делает.	Y	знаем	2298	    1,751	0.004	468.4444	rus_news_2009_00026081
15029	Мы не знаем, что будет завтра, через неделю, через месяц.	Y	знаем	2298	    1,751	0.004	567	rus_news_2007_00176932
15030	Они нас хорошо знают, мы их хорошо знаем.	Y	знаем	2298	    1,751	0.004	655.2857	rus_news_2009_00654557
15031	Потому что мы знаем, что Европа - наше общее будущее.	Y	знаем	2298	    1,751	0.004	1259.25	rus_news_2007_00514499
15032	Я не раз видел эти условия, был здесь при строительстве.	Y	строительстве	2298	    1,751	0.004	577.4	rus_news_2009_00276395
15033	Но сам город участвовать в их строительстве не намерен.	Y	строительстве	2298	    1,751	0.004	654.8889	rus_news_2007_00903912
15034	Сейчас оно в строительстве практически не используется.	Y	строительстве	2298	    1,751	0.004	769.4286	rus_news_2010_00878606
15035	«Кризис в строительстве начался еще в мае 2008 года.	Y	строительстве	2298	    1,751	0.004	820.7143	rus_news_2009_00668379
15036	У нас уже есть различные программы поддержки молодых семей при строительстве жилья.	Y	строительстве	2298	    1,751	0.004	863.8333	rus_news_2010_00638872
15037	А если брать еще выше - то почти и невозможно.	Y	брать	2299	    1,750	0.004	471.6667	rus_news_2007_00271099
15038	Какие нужны документы для этого, где их брать.	Y	брать	2299	    1,750	0.004	667.5	rus_news_2007_00708112
15039	Какой пример будут брать с него наши дети?	Y	брать	2299	    1,750	0.004	790.875	rus_news_2007_00988254
15040	Они не знают, с кого брать пример.	Y	брать	2299	    1,750	0.004	927.2857	rus_news_2007_00940048
15041	 не намерены брать кредит на получение образования.	Y	брать	2299	    1,750	0.004	1106.4286	rus_news_2010_00229348
